job_group,annual_openings,med_annual_pay
Architecture and Engineering Occupations,186500,97310
Arts and Design Occupations,84900,53180
Building and Grounds Cleaning Occupations,788700,36790
Business and Financial Occupations,942500,80920
Community and Social Service Occupations,313700,57530
Computer and Information Technology Occupations,317700,105990
Construction and Extraction Occupations,649300,58360
Educational Instruction and Library Occupations,890300,59220
Entertainment and Sports Occupations,99700,54870
"Farming, Fishing, and Forestry Occupations",142800,36750
Food Preparation and Serving Occupations,2600000,34130
Healthcare Occupations,1900000,60135
"Installation, Maintenance, and Repair Occupations",608100,58230
Legal Occupations,83800,99990
"Life, Physical, and Social Science Occupations",144700,78980
Management Occupations,1100000,122090
Math Occupations,37700,104620
Media and Communication Occupations,104800,63390
Office and Administrative Support Occupations,2000000,46320
Personal Care and Service Occupations,772400,35110
Production Occupations,963400,45960
Protective Service Occupations,423600,50580
Sales Occupations,1800000,37460
Transportation and Material Moving Occupations,1800000,42740
