job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering Occupations,9300,79830,Associate's degree
Aerospace Engineers,Architecture and Engineering Occupations,71600,134830,Bachelor's degree
Agricultural Engineers,Architecture and Engineering Occupations,1700,84630,Bachelor's degree
Architects,Architecture and Engineering Occupations,123600,96690,Bachelor's degree
Bioengineers and Biomedical Engineers,Architecture and Engineering Occupations,22200,106950,Bachelor's degree
Cartographers and Photogrammetrists,Architecture and Engineering Occupations,13400,78380,Bachelor's degree
Chemical Engineers,Architecture and Engineering Occupations,21600,121860,Bachelor's degree
Civil Engineering Technologists and Technicians,Architecture and Engineering Occupations,64900,64200,Associate's degree
Civil Engineers,Architecture and Engineering Occupations,368900,99590,Bachelor's degree
Computer Hardware Engineers,Architecture and Engineering Occupations,76800,155020,Bachelor's degree
Drafters,Architecture and Engineering Occupations,192100,65380,Associate's degree
Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering Occupations,93700,77180,Associate's degree
Electrical and Electronics Engineers,Architecture and Engineering Occupations,287900,118780,Bachelor's degree
Electro-mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering Occupations,15000,70760,Associate's degree
Environmental Engineering Technologists and Technicians,Architecture and Engineering Occupations,12900,58890,Associate's degree
Environmental Engineers,Architecture and Engineering Occupations,39400,104170,Bachelor's degree
Health and Safety Engineers,Architecture and Engineering Occupations,23800,109660,Bachelor's degree
Industrial Engineering Technologists and Technicians,Architecture and Engineering Occupations,74600,64790,Associate's degree
Industrial Engineers,Architecture and Engineering Occupations,351100,101140,Bachelor's degree
Landscape Architects,Architecture and Engineering Occupations,21800,79660,Bachelor's degree
Marine Engineers and Naval Architects,Architecture and Engineering Occupations,8500,105670,Bachelor's degree
Materials Engineers,Architecture and Engineering Occupations,23000,108310,Bachelor's degree
Mechanical Engineering Technologists and Technicians,Architecture and Engineering Occupations,38300,68730,Associate's degree
Mechanical Engineers,Architecture and Engineering Occupations,293100,102320,Bachelor's degree
Mining and Geological Engineers,Architecture and Engineering Occupations,7000,101020,Bachelor's degree
Nuclear Engineers,Architecture and Engineering Occupations,15400,127520,Bachelor's degree
Petroleum Engineers,Architecture and Engineering Occupations,19600,141280,Bachelor's degree
Surveying and Mapping Technicians,Architecture and Engineering Occupations,59400,51940,High school diploma or equivalent
Surveyors,Architecture and Engineering Occupations,56100,72740,Bachelor's degree
