job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Boilermakers,Construction and Extraction Occupations,10400,73340,High school diploma or equivalent
Carpenters,Construction and Extraction Occupations,959000,59310,High school diploma or equivalent
Construction and Building Inspectors,Construction and Extraction Occupations,147600,72120,High school diploma or equivalent
Construction Equipment Operators,Construction and Extraction Occupations,539500,58320,High school diploma or equivalent
Construction Laborers and Helpers,Construction and Extraction Occupations,1649100,46050,NA
"Drywall Installers, Ceiling Tile Installers, and Tapers",Construction and Extraction Occupations,118600,58800,No formal educational credential
Electricians,Construction and Extraction Occupations,818700,62350,High school diploma or equivalent
Elevator and Escalator Installers and Repairers,Construction and Extraction Occupations,24200,106580,High school diploma or equivalent
Flooring Installers and Tile and Stone Setters,Construction and Extraction Occupations,112300,52000,No formal educational credential
Glaziers,Construction and Extraction Occupations,60500,55440,High school diploma or equivalent
Hazardous Materials Removal Workers,Construction and Extraction Occupations,51300,48490,High school diploma or equivalent
Insulation Workers,Construction and Extraction Occupations,67400,50730,NA
Ironworkers,Construction and Extraction Occupations,85100,61940,High school diploma or equivalent
Masonry Workers,Construction and Extraction Occupations,294300,56600,NA
Oil and Gas Workers,Construction and Extraction Occupations,115900,52610,No formal educational credential
"Painters, Construction and Maintenance",Construction and Extraction Occupations,342200,48660,No formal educational credential
"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,504500,62970,High school diploma or equivalent
Roofers,Construction and Extraction Occupations,166700,50970,No formal educational credential
Sheet Metal Workers,Construction and Extraction Occupations,127000,60850,High school diploma or equivalent
Solar Photovoltaic Installers,Construction and Extraction Occupations,28600,51860,High school diploma or equivalent
