job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Agricultural and Food Science Technicians,"Life, Physical, and Social Science Occupations",38900,48480,Associate's degree
Agricultural and Food Scientists,"Life, Physical, and Social Science Occupations",38700,78770,Bachelor's degree
Anthropologists and Archeologists,"Life, Physical, and Social Science Occupations",8800,64910,Master's degree
"Atmospheric Scientists, Including Meteorologists","Life, Physical, and Social Science Occupations",9400,97450,Bachelor's degree
Biochemists and Biophysicists,"Life, Physical, and Social Science Occupations",35600,103650,Doctoral or professional degree
Biological Technicians,"Life, Physical, and Social Science Occupations",82700,52000,Bachelor's degree
Chemical Technicians,"Life, Physical, and Social Science Occupations",57000,57790,Associate's degree
Chemists and Materials Scientists,"Life, Physical, and Social Science Occupations",95500,86620,Bachelor's degree
Conservation Scientists and Foresters,"Life, Physical, and Social Science Occupations",42400,69060,Bachelor's degree
Economists,"Life, Physical, and Social Science Occupations",17600,115440,Master's degree
Environmental Science and Protection Technicians,"Life, Physical, and Social Science Occupations",40400,49490,Associate's degree
Environmental Scientists and Specialists,"Life, Physical, and Social Science Occupations",90300,80060,Bachelor's degree
Epidemiologists,"Life, Physical, and Social Science Occupations",12300,83980,Master's degree
Forensic Science Technicians,"Life, Physical, and Social Science Occupations",20700,67440,Bachelor's degree
Geographers,"Life, Physical, and Social Science Occupations",1500,97200,Bachelor's degree
Geological and Hydrologic Technicians,"Life, Physical, and Social Science Occupations",12900,50510,Associate's degree
Geoscientists,"Life, Physical, and Social Science Occupations",25100,99240,Bachelor's degree
Historians,"Life, Physical, and Social Science Occupations",3400,74050,Master's degree
Hydrologists,"Life, Physical, and Social Science Occupations",6300,92060,Bachelor's degree
Medical Scientists,"Life, Physical, and Social Science Occupations",165300,100590,Doctoral or professional degree
Microbiologists,"Life, Physical, and Social Science Occupations",20700,87330,Bachelor's degree
Nuclear Technicians,"Life, Physical, and Social Science Occupations",6000,104240,Associate's degree
Physicists and Astronomers,"Life, Physical, and Social Science Occupations",26400,166290,Doctoral or professional degree
Political Scientists,"Life, Physical, and Social Science Occupations",6500,139380,Master's degree
Psychologists,"Life, Physical, and Social Science Occupations",204300,94310,NA
Sociologists,"Life, Physical, and Social Science Occupations",3400,101690,Master's degree
Survey Researchers,"Life, Physical, and Social Science Occupations",8800,63380,Master's degree
Urban and Regional Planners,"Life, Physical, and Social Science Occupations",44700,83720,Master's degree
Zoologists and Wildlife Biologists,"Life, Physical, and Social Science Occupations",18200,72860,Bachelor's degree
