job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Administrative Services and Facilities Managers,Management Occupations,422600,106880,Bachelor's degree
"Advertising, Promotions, and Marketing Managers",Management Occupations,434000,159660,Bachelor's degree
Architectural and Engineering Managers,Management Occupations,212500,167740,Bachelor's degree
Compensation and Benefits Managers,Management Occupations,20900,140360,Bachelor's degree
Computer and Information Systems Managers,Management Occupations,667100,171200,Bachelor's degree
Construction Managers,Management Occupations,550300,106980,Bachelor's degree
"Elementary, Middle, and High School Principals",Management Occupations,333300,104070,Master's degree
Emergency Management Directors,Management Occupations,13200,86130,Bachelor's degree
Entertainment and Recreation Managers,Management Occupations,43200,77180,Bachelor's degree
"Farmers, Ranchers, and Other Agricultural Managers",Management Occupations,836100,87980,High school diploma or equivalent
Financial Managers,Management Occupations,868600,161700,Bachelor's degree
Food Service Managers,Management Occupations,352800,65310,High school diploma or equivalent
Human Resources Managers,Management Occupations,221900,140030,Bachelor's degree
Industrial Production Managers,Management Occupations,241900,121440,Bachelor's degree
Lodging Managers,Management Occupations,52000,68130,High school diploma or equivalent
Medical and Health Services Managers,Management Occupations,616200,117960,Bachelor's degree
Natural Sciences Managers,Management Occupations,104300,161180,Bachelor's degree
Postsecondary Education Administrators,Management Occupations,226600,103960,Master's degree
Preschool and Childcare Center Directors,Management Occupations,90200,56270,Bachelor's degree
"Property, Real Estate, and Community Association Managers",Management Occupations,466100,66700,High school diploma or equivalent
Public Relations and Fundraising Managers,Management Occupations,128900,132870,Bachelor's degree
Sales Managers,Management Occupations,619500,138060,Bachelor's degree
Social and Community Service Managers,Management Occupations,219800,78240,Bachelor's degree
Top Executives,Management Occupations,4022200,105350,Bachelor's degree
Training and Development Managers,Management Occupations,46400,127090,Bachelor's degree
"Transportation, Storage, and Distribution Managers",Management Occupations,216700,102010,High school diploma or equivalent
