job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Animal Care and Service Workers,Personal Care and Service Occupations,439400,33860,High school diploma or equivalent
"Barbers, Hairstylists, and Cosmetologists",Personal Care and Service Occupations,651200,35420,Postsecondary nondegree award
Childcare Workers,Personal Care and Service Occupations,991600,32050,High school diploma or equivalent
Concierges,Personal Care and Service Occupations,45600,37320,High school diploma or equivalent
Fitness Trainers and Instructors,Personal Care and Service Occupations,370100,46180,High school diploma or equivalent
Funeral Service Workers,Personal Care and Service Occupations,59600,59420,Associate's degree
Gambling Services Workers,Personal Care and Service Occupations,150600,35630,High school diploma or equivalent
Manicurists and Pedicurists,Personal Care and Service Occupations,210100,34660,Postsecondary nondegree award
Recreation Workers,Personal Care and Service Occupations,327700,35380,High school diploma or equivalent
Skincare Specialists,Personal Care and Service Occupations,97400,41560,Postsecondary nondegree award
Tour and Travel Guides,Personal Care and Service Occupations,55800,36660,High school diploma or equivalent
