job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Assemblers and Fabricators,Production Occupations,1885400,43570,High school diploma or equivalent
Bakers,Production Occupations,249100,36650,No formal educational credential
Butchers,Production Occupations,143100,38960,No formal educational credential
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,Production Occupations,66800,45820,High school diploma or equivalent
Food Processing Equipment Workers,Production Occupations,282600,40050,NA
Jewelers and Precious Stone and Metal Workers,Production Occupations,35100,49140,High school diploma or equivalent
Machinists and Tool and Die Makers,Production Occupations,354800,57700,NA
Metal and Plastic Machine Workers,Production Occupations,1000700,46800,NA
Painting and Coating Workers,Production Occupations,174300,47390,NA
"Power Plant Operators, Distributors, and Dispatchers",Production Occupations,46600,103600,High school diploma or equivalent
Quality Control Inspectors,Production Occupations,598000,47460,High school diploma or equivalent
Semiconductor Processing Technicians,Production Occupations,31900,51180,High school diploma or equivalent
Stationary Engineers and Boiler Operators,Production Occupations,33300,75190,High school diploma or equivalent
Water and Wastewater Treatment Plant and System Operators,Production Occupations,132400,58260,High school diploma or equivalent
"Welders, Cutters, Solderers, and Brazers",Production Occupations,457300,51000,High school diploma or equivalent
Woodworkers,Production Occupations,214600,43720,High school diploma or equivalent
