job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Advertising Sales Agents,Sales Occupations,103700,61460,High school diploma or equivalent
Cashiers,Sales Occupations,3157200,31190,No formal educational credential
Insurance Sales Agents,Sales Occupations,568800,60370,High school diploma or equivalent
Models,Sales Occupations,6700,89990,No formal educational credential
Real Estate Brokers and Sales Agents,Sales Occupations,532200,58960,High school diploma or equivalent
Retail Sales Workers,Sales Occupations,4208800,34730,No formal educational credential
Sales Engineers,Sales Occupations,56800,121520,Bachelor's degree
"Securities, Commodities, and Financial Services Sales Agents",Sales Occupations,514500,78140,Bachelor's degree
Travel Agents,Sales Occupations,65700,48450,High school diploma or equivalent
Wholesale and Manufacturing Sales Representatives,Sales Occupations,1613600,74100,NA
