job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Air Traffic Controllers,Transportation and Material Moving Occupations,24100,144580,Associate's degree
Airline and Commercial Pilots,Transportation and Material Moving Occupations,155400,198100,NA
Bus Drivers,Transportation and Material Moving Occupations,546100,48370,High school diploma or equivalent
Delivery Truck Drivers and Driver/Sales Workers,Transportation and Material Moving Occupations,1531300,42770,High school diploma or equivalent
Flight Attendants,Transportation and Material Moving Occupations,130800,67130,High school diploma or equivalent
Hand Laborers and Material Movers,Transportation and Material Moving Occupations,6950000,37680,No formal educational credential
Heavy and Tractor-trailer Truck Drivers,Transportation and Material Moving Occupations,2235100,57440,Postsecondary nondegree award
Material Moving Machine Operators,Transportation and Material Moving Occupations,867700,46620,NA
Railroad Workers,Transportation and Material Moving Occupations,77900,75680,High school diploma or equivalent
"Taxi Drivers, Shuttle Drivers, and Chauffeurs",Transportation and Material Moving Occupations,447900,36660,No formal educational credential
Water Transportation Workers,Transportation and Material Moving Occupations,84300,66490,NA
