job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Computer and Information Research Scientists,Computer and Information Technology Occupations,40300,140910,Master's degree
Computer Network Architects,Computer and Information Technology Occupations,179200,130390,Bachelor's degree
Computer Programmers,Computer and Information Technology Occupations,121200,98670,Bachelor's degree
Computer Support Specialists,Computer and Information Technology Occupations,882300,61550,NA
Computer Systems Analysts,Computer and Information Technology Occupations,521100,103790,Bachelor's degree
Database Administrators and Architects,Computer and Information Technology Occupations,144900,123100,Bachelor's degree
Information Security Analysts,Computer and Information Technology Occupations,182800,124910,Bachelor's degree
Network and Computer Systems Administrators,Computer and Information Technology Occupations,331500,96800,Bachelor's degree
"Software Developers, Quality Assurance Analysts, and Testers",Computer and Information Technology Occupations,1895500,131450,Bachelor's degree
Web Developers and Digital Designers,Computer and Information Technology Occupations,214900,95380,Bachelor's degree
