job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Adult Basic and Secondary Education and ESL Teachers,Educational Instruction and Library Occupations,40900,59950,Bachelor's degree
"Archivists, Curators, and Museum Workers",Educational Instruction and Library Occupations,40200,57100,See How to Become One
Career and Technical Education Teachers,Educational Instruction and Library Occupations,239600,62910,Bachelor's degree
High School Teachers,Educational Instruction and Library Occupations,1094500,64580,Bachelor's degree
Instructional Coordinators,Educational Instruction and Library Occupations,232600,74720,Master's degree
Kindergarten and Elementary School Teachers,Educational Instruction and Library Occupations,1539800,62310,Bachelor's degree
Librarians and Library Media Specialists,Educational Instruction and Library Occupations,142100,64320,Master's degree
Library Technicians and Assistants,Educational Instruction and Library Occupations,163100,37540,See How to Become One
Middle School Teachers,Educational Instruction and Library Occupations,633700,62970,Bachelor's degree
Postsecondary Teachers,Educational Instruction and Library Occupations,1415600,83980,See How to Become One
Preschool Teachers,Educational Instruction and Library Occupations,555100,37120,Associate's degree
Special Education Teachers,Educational Instruction and Library Occupations,559500,64270,Bachelor's degree
Teacher Assistants,Educational Instruction and Library Occupations,1422800,35240,"Some college, no degree"
Tutors,Educational Instruction and Library Occupations,215500,40090,"Some college, no degree"
