job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Athletic Trainers,Healthcare Occupations,33900,60250,Master's degree
Audiologists,Healthcare Occupations,15800,92120,Doctoral or professional degree
Cardiovascular Technologists and Technicians,Healthcare Occupations,64700,67260,Associate's degree
Chiropractors,Healthcare Occupations,57200,79000,Doctoral or professional degree
Clinical Laboratory Technologists and Technicians,Healthcare Occupations,351200,61890,Bachelor's degree
Dental Assistants,Healthcare Occupations,381900,47300,Postsecondary nondegree award
Dental Hygienists,Healthcare Occupations,221600,94260,Associate's degree
Dentists,Healthcare Occupations,149300,179210,Doctoral or professional degree
Diagnostic Medical Sonographers,Healthcare Occupations,90000,89340,Associate's degree
Dietitians and Nutritionists,Healthcare Occupations,90900,73850,Bachelor's degree
EMTs and Paramedics,Healthcare Occupations,282900,46350,Postsecondary nondegree award
Exercise Physiologists,Healthcare Occupations,23900,58160,Bachelor's degree
Genetic Counselors,Healthcare Occupations,4000,98910,Master's degree
Health Information Technologists and Medical Registrars,Healthcare Occupations,41900,67310,Associate's degree
Home Health and Personal Care Aides,Healthcare Occupations,4347700,34900,High school diploma or equivalent
Licensed Practical and Licensed Vocational Nurses,Healthcare Occupations,651400,62340,Postsecondary nondegree award
Massage Therapists,Healthcare Occupations,168000,57950,Postsecondary nondegree award
Medical Assistants,Healthcare Occupations,811000,44200,Postsecondary nondegree award
Medical Dosimetrists,Healthcare Occupations,4800,138110,Bachelor's degree
Medical Records Specialists,Healthcare Occupations,194800,50250,Postsecondary nondegree award
Medical Transcriptionists,Healthcare Occupations,43900,37550,Postsecondary nondegree award
Nuclear Medicine Technologists,Healthcare Occupations,20000,97020,Associate's degree
"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners",Healthcare Occupations,382700,132050,Master's degree
Nursing Assistants and Orderlies,Healthcare Occupations,1495400,39430,NA
Occupational Health and Safety Specialists and Technicians,Healthcare Occupations,163700,78900,NA
Occupational Therapists,Healthcare Occupations,160000,98340,Master's degree
Occupational Therapy Assistants and Aides,Healthcare Occupations,54400,66050,NA
Opticians,Healthcare Occupations,79900,46560,High school diploma or equivalent
Optometrists,Healthcare Occupations,47800,134830,Doctoral or professional degree
Orthotists and Prosthetists,Healthcare Occupations,10100,78310,Master's degree
Pharmacists,Healthcare Occupations,335100,137480,Doctoral or professional degree
Pharmacy Technicians,Healthcare Occupations,490400,43460,High school diploma or equivalent
Phlebotomists,Healthcare Occupations,139700,43660,Postsecondary nondegree award
Physical Therapist Assistants and Aides,Healthcare Occupations,157100,60050,NA
Physical Therapists,Healthcare Occupations,267200,101020,Doctoral or professional degree
Physician Assistants,Healthcare Occupations,162700,133260,Master's degree
Physicians and Surgeons,Healthcare Occupations,839000,239200,Doctoral or professional degree
Podiatrists,Healthcare Occupations,9700,152800,Doctoral or professional degree
Psychiatric Technicians and Aides,Healthcare Occupations,182900,42200,NA
Radiation Therapists,Healthcare Occupations,19200,101990,Associate's degree
Radiologic and MRI Technologists,Healthcare Occupations,272000,78980,Associate's degree
Recreational Therapists,Healthcare Occupations,16100,60280,Bachelor's degree
Registered Nurses,Healthcare Occupations,3391000,93600,Bachelor's degree
Respiratory Therapists,Healthcare Occupations,139600,80450,Associate's degree
Speech-Language Pathologists,Healthcare Occupations,187400,95410,Master's degree
Surgical Assistants and Technologists,Healthcare Occupations,141000,62480,Postsecondary nondegree award
Veterinarians,Healthcare Occupations,86400,125510,Doctoral or professional degree
Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Occupations,117800,37320,High school diploma or equivalent
Veterinary Technologists and Technicians,Healthcare Occupations,134200,45980,Associate's degree
