job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Aircraft and Avionics Equipment Mechanics and Technicians,"Installation, Maintenance, and Repair Occupations",160800,79140,Postsecondary nondegree award
Automotive Body and Glass Repairers,"Installation, Maintenance, and Repair Occupations",193000,50680,High school diploma or equivalent
Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair Occupations",805600,49670,Postsecondary nondegree award
Calibration Technologists and Technicians,"Installation, Maintenance, and Repair Occupations",15800,65040,Associate's degree
Diesel Service Technicians and Mechanics,"Installation, Maintenance, and Repair Occupations",319900,60640,High school diploma or equivalent
Electrical and Electronics Installers and Repairers,"Installation, Maintenance, and Repair Occupations",118800,71270,See How to Become One
Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations",127400,92560,High school diploma or equivalent
General Maintenance and Repair Workers,"Installation, Maintenance, and Repair Occupations",1629700,48620,High school diploma or equivalent
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Occupations",425200,59810,Postsecondary nondegree award
Heavy Vehicle and Mobile Equipment Service Technicians,"Installation, Maintenance, and Repair Occupations",245600,62740,High school diploma or equivalent
"Industrial Machinery Mechanics, Machinery Maintenance Workers, and Millwrights","Installation, Maintenance, and Repair Occupations",538300,63510,High school diploma or equivalent
Medical Equipment Repairers,"Installation, Maintenance, and Repair Occupations",68000,62630,Associate's degree
Small Engine Mechanics,"Installation, Maintenance, and Repair Occupations",78000,48240,See How to Become One
Telecommunications Technicians,"Installation, Maintenance, and Repair Occupations",268500,64310,See How to Become One
Wind Turbine Technicians,"Installation, Maintenance, and Repair Occupations",13600,62580,Postsecondary nondegree award
