job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Announcers and DJs,Media and Communication Occupations,39500,21,NA
"Broadcast, Sound, and Video Technicians",Media and Communication Occupations,146100,56600,NA
Editors,Media and Communication Occupations,115800,75260,Bachelor's degree
Film and Video Editors and Camera Operators,Media and Communication Occupations,79900,70570,Bachelor's degree
Interpreters and Translators,Media and Communication Occupations,75300,59440,Bachelor's degree
"News Analysts, Reporters, and Journalists",Media and Communication Occupations,49300,60280,Bachelor's degree
Photographers,Media and Communication Occupations,151200,42520,High school diploma or equivalent
Public Relations Specialists,Media and Communication Occupations,315900,69780,Bachelor's degree
Technical Writers,Media and Communication Occupations,56400,91670,Bachelor's degree
Writers and Authors,Media and Communication Occupations,135400,72270,Bachelor's degree
