job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Bill and Account Collectors,Office and Administrative Support Occupations,166900,46040,High school diploma or equivalent
"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support Occupations,1613400,49210,"Some college, no degree"
Customer Service Representatives,Office and Administrative Support Occupations,2814000,42830,High school diploma or equivalent
Desktop Publishers,Office and Administrative Support Occupations,5000,53620,Associate's degree
Financial Clerks,Office and Administrative Support Occupations,1193000,48650,High school diploma or equivalent
General Office Clerks,Office and Administrative Support Occupations,2646000,43630,High school diploma or equivalent
Information Clerks,Office and Administrative Support Occupations,1336600,43730,NA
Material Recording Clerks,Office and Administrative Support Occupations,1300800,46120,High school diploma or equivalent
Postal Service Workers,Office and Administrative Support Occupations,500000,57870,No formal educational credential
Public Safety Telecommunicators,Office and Administrative Support Occupations,105200,50730,High school diploma or equivalent
Receptionists,Office and Administrative Support Occupations,1007200,37230,High school diploma or equivalent
Secretaries and Administrative Assistants,Office and Administrative Support Occupations,3453100,47460,High school diploma or equivalent
Tellers,Office and Administrative Support Occupations,347400,39340,High school diploma or equivalent
